ID,Title,Full title,Title in Latin characters,Text is presented as original,Information to contradict original text,References for declaring as original text,Notes on declaring as original text,Text expanded in translations,Text expanded in new edition,Text is presented as translation,Information to contradict translation,References for declaring as translation,Name of original text,Author of original text,Notes on declaring as translation,Text is presented as new edition,Information to contradict new edition,References for declaring as new edition,Name of old text,Author of old text,Notes on declaring as new edition,Are there sources mentioned in the book itself,List of sources mentioned in the book,References for sources mentioned in the book,Are there sources not mentioned in the book,List of sources not mentioned in the book,References for sources not mentioned in the book,Quotes from Jewish sources,Quotes from non-Jewish sources,Motto,Notes on type of book,Type of translation,Type of original text,Title of the original text as it appeared originally,Title of the original text as it appears elsewhere,References for title of the original text as it appears elsewhere,Bibliographical citations for translation,Original language of text,Year of publication of original text,Original publisher,Place of publication of original text,Name of author of the original text as it appeared originally,Name of author of the original text as it appears elsewhere,References for name of author of the original text as it appears elsewhere,Other names for the author,Notes on translation,"Type of new edition, as specified in the text",References for new edition as specified in text,Notes on new edition as specified in text,"Type of new edition, as specified elsewhere",References for new edition as specified elsewhere,Notes on new edition as specified elsewhere,Name of the old text as it appears in the book,Name of the old text's author as it appears in the book,Additional names for the old text's author as it appears in the book,Name of the old text's author as it appears in other sources,Notes on new edition,Number of volumes published,Number of examined volume,Names of other published volumes,Names of planned volumes that were not published,Part of a series of books,Name of series,Printed originally with other books,Names of other books,Notes on volumes,Name of publisher,Year of publication as it appears in the book,Hebrew year of publication as it appears in the book,Gregorian year of publication as it appears in the book,Place of publication as it appears in the book,Format of publication date,Price of book as it appears in the book,Year of publication as it appears in other sources,Hebrew year of publication as it appears in other sources,Gregorian year of publication as it appears in other sources,Place of publication as it appears in other sources,References for publication information,Notes on publication,Total number of editions,Last known edition,References for editions,Notes on editions,Number of languages,Language in book,Appearance of words in other language,Alignment of text,Typography,Language of footnotes,Location of footnotes,Fonts,Is there a preface,Notes on preface,Is there an epilogue,Notes on afterword,Is there a table of contents,Notes on index,Number of pages,"Height of book, in cm","Width of book, in cm",Are there illustrations/diagrams,Notes on illustrations/diagrams,Pages in which illustrations/diagrams appear,Illustration/diagram for book,Notes on book structure,Are there personal addresses,Notes on personal addresses,Are there rabbinical approbations,Notes on approbations,Are there recommendations,Notes on recommendations,Are there dedications,Notes on dedications,Are there thanks,Notes on thanks,Is there an appeal to sell subscriptions,Notes on appeal to sell subscriptions,Is there a list of subscribers,Notes on list of subscribers,Is there a list of printers,Notes on list of printers,Is there a list of proofreaders,Notes on list of proofreaders,Is there a list of funders,Notes on list of funders,Is there a list of sellers,Notes on list of sellers,Notes on book mentions,Main models,Secondary models,Notes on textual models,Topic,Notes on topics,Target audience as described in the book,Notes on target audience,Evidence about book production,Contacts with other people,Contacts with official agents,Contemporary references to the book,Contemporary disputes about the book,Censorship,Bans,Later references to the book,Original sources which mention the book,Mentions in reviews,References for preservation in the public consciousness,Partial publication of the book in other texts,General notes on target audience,National Library of Hebrew University catalog number,Library of Bar Ilan University catalog number,Library of Tel Aviv University catalog number,National Library of Berlin catalog number,Frankfurt University Library catalog number,Widener Library of Harvard catalog number,New York Public Library catalog number,British Museum catalog number,Catalog number at other libraries,Book is not available,Notes on book availability,Link to digital book,Notes on catalog numbers,Secondary sources used by researchers,Copy of book used,Studies about the book,Notes on references
book001,Abhandlung von der Freiheit des Menschen,Abhandlung von der Freiheit des Menschen,,TRUE,,,,,,,,,,,,,,,,,,TRUE,Leibniz: Theodicee.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Montag,1789,תקמט,1789,,modern,,,,,,,,2,1789,"in: Alexander: Kleine Schriften, S. 1-80.",,monolingual,,,,,,,,,,,,,,"[6], 80",,,FALSE,,,,"Höhe und Breite konnten nicht ermittelt werden, da das Buch nur als Microfiche vorliegt.",FALSE,,FALSE,,FALSE,,TRUE,"Ihro Excellenz dem Hochgebohrnen Freiherrn Herrn Peter Friedrich von Hohenthal [1735-1819], Kurfürstl. Sächsischen Hochbetrauten wirklichen Geheimen Rath, und Hochverordneten Evangelischen Direktorial-Gesandten bey der Reichsversammlung zu Regensburg.",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,"Scientific literature, Essay",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10039703-9,,,Bayerische Staatsbibliothek: Ph.pr. 20 t; Fiche Ph.pr. 20 t,,
book002,Actenstücke zur Geschichte der Erhebung der Juden zu Bürgern der Republik Batavien,Actenstücke zur Geschichte der Erhebung der Juden zu Bürgern der Republik Batavien,,,,,,,,TRUE,,רשום בדף השער,,,"תרגום של מסמכים על אמנציפצית היהודים בהולנד
Batavsche Republiek",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michaelis,1797,,,Neustrelitz,modern,,,,,,,,,,,,bilingual,"German,French",Latin,left,parallel,,,"Gothic,Latin",FALSE,,FALSE,,FALSE,,104,18.4,10.1,FALSE,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,Informative text,,,"Emancipation,Political and social revolutions",,general Jewish,,,,,,,,,,,,,,,R 8= 35 V 4487,,,,,,,,,,,http://reader.digitale-sammlungen.de/resolve/display/bsb10570202.html,,,SL: JNUL: R8 = 35 V4487,,"AK: UB Rostock: CIc-1160.2

Katalog Uni Kiel

Kopie bereits erhalten, gescannt auf CD"
book003,Akten-Stücke die Reform der Jüdischen Kolonieen in den Preußischen Staaten betreffend,Akten-Stücke die Reform der Jüdischen Kolonieen in den Preußischen Staaten betreffend,,TRUE,,,,,,,,,,,,,,,,,,TRUE,"Herder, Johann Gottfried: Ideen zur Philosophie der Geschichte

Michaelis, Johann David: Orientalische Bibliothek

Dohm, Christian Wilhelm von, כריסטיאן וילהלם פון דוהם: Über die bürgerliche Verbesserung der Juden

Brandes, Ernst: Ueber einige bisherige Folgen der FR",,,,,,,"Es wird eine Zeit kommen, da man in Europa nicht mehr fragen wird, wer Jude oder Christ sey; denn auch der Jude wird nach Europäischen Gesetzen leben und zum Besten des Staates beytragen. Nur eine barbarische Verfassung hat ihn daran hindern, oder seine Fähigkeit schädlich machen mögen.
Herder.

L'homme [lui-même] est une quantité indéterminable. Il est (si j'ose me servir de l'expression) une matiere ductile par la filiere de l'habitude. Il prend tous les plis, toutes les formes qu'on veut, sans se détruire; on donne par l'habitude à ses forces, à sa nature, à son être primitif une extension qui paraissait impossible d'abord; & ce qui est plus singulier, aussi-tôt qu'il s'y est fait, il trouve que cela lui est tout naturel, que cela a existé de tout temps & ne pouvait être autrement, que c'est son état physique. Il est tout à son aise dans cet état, où par une suite de siècles on l'a mis, & l'ouvrage d'une longue succession de philosophes est oublié. Il ignore le bienfaiteur & le bienfait, comme il ignore & le Méchant & le Mal qu'il lui a causé, & qu'il croit bonnement être de sa nature.

Dialogues sur le commerce des bleds [par l'abbé Galiani, revus par Grimm et Diderot] pag. 229.",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,Christian Friedrich Voss,1793,תקנד,1793,Berlin,modern,,,,,,,,1,,,,monolingual,German,,left,consecutive,German,bottom of pages,Gothic,TRUE,Einleitung,FALSE,,FALSE,,"188, [2]",20.5,11.3,FALSE,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,Polemics,Report,,"Emancipation,Religious tolerance/ intolerance",,"general - unspecified,political authorities",,"Ritter 1861, S. 74-88.",,,"NADB, 1793 , 3. Bd., 1. St. , S. 154-158.",,,,"Ritter 1861, S. 74-92.",,,,,,2032692,,,Ez 6310<a>,urn:nbn:de:hebis:30-180012126007,,,,,,,http://sammlungen.ub.uni-frankfurt.de/urn/urn:nbn:de:hebis:30-180012126007,,"Ritter 1861, S. 74-92.",SBBPK: Ez 6310<a>,,
book004,An das Breslauer Publikum,An das Breslauer Publikum: ein Wort des Friedens zur Beseitigung des über die von Herrn Pastor Hermes am 2. Weihnachtsfeiertage gehaltene Predigt ausgebrochenen Streits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1804,,,Breslau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AK: Eichstädt, Nr. 408. nicht gefunden, auch nicht von Eichstädt. Autor gibt er mit P S an"
book005,An die Herausgeber des hebräischen Sammlers über die frühe Beerdigung der Juden,An die Herausgeber des hebräischen Sammlers über die frühe Beerdigung der Juden,,TRUE,,,,,,,,,,,,,,,,,,TRUE,"Bruhier d’Ablaincourt, Jacques: Abhandlung von der Ungewißheit der Kennzeichen.

Brinckmann, Johann Peter: Beweis der Möglichkeit, daß einige Leute ...

המאסף",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orientalische Buchdruckerei - חברת חנוך נערים,1787,,1787,Berlin,modern,,,,,,,,2,1788,,Einzeldruck: Beilage zum Hameassef,monolingual,German,,,consecutive,German,bottom of pages,Gothic,FALSE,,FALSE,,FALSE,,35,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polemics,Scientific text model,,Religious rites,,"general - unspecified,general Jewish",,"Bitte der Herausgeber des Hameassef um Stellungnahme zum Problem der frühen Beerdigung an Herz, in: Hammeassef, 3. Jg, S. 203",,,"Rezension: Herz, über die frühe Beerdigung der Juden, in: ADB 1789 , 87. Bd., 1. St., S. 144-145",,,,,,"Biographie des Herrn Marcus Herz. — In: Sulamith, Jg 3 (1811) Nr 2, S. 77-97, hier S. 90-91.",,,,FI 668 (NEGATIVE),,,Jf 7655 MF,,,,,,,,,,,,"Krochmalnik, Daniel: Scheintod und Emanzipation. Der Beerdigungsstreit in seinem historischen Kontext, in: Trumah, Bd. 6 (1997), S. 107–149; Davies, Martin: Identity or History, Detroit 1995, S. 200-205.",
book006,Anfangsgründe der Newtonischen Philosophie,Anfangsgründe der Newtonischen Philosophie von Dr. Pemberton. Aus dem Englischen mit Anmerkungen und einer Vorrede von Salomon Maimon. Erster Theil mit vier Kupfertafeln,,,,,,,,TRUE,,,A view of Sir Isaac Newton's Philosophy,"Pemberton, Henry",,,,,,,,,,,,,,,,,,"translation of contemporary text, or of adjacent period",book,,A view of Sir Isaac Newton's Philosophy,KVK,,,1728,,London,Dr. Pemberton,"Pemberton, Henry",KVK,,,,,,,,,,,,,,1,,,,,,,,,Friedrich Maurer,1793,,,Berlin,modern,,,,,,,,,,,,monolingual,German,Latin,left,consecutive,German,"bottom of pages,end of book","Gothic,Latin",TRUE,,FALSE,,FALSE,"Vorrede I-XVI

Einleitung 3-32

1. Buch: Von der Bewegung der Körper überhaupt

1. Kapitel: Von des Gesetzen der Bewegung 33-58

2. Kapitel: Andere Beweise für die Gesetze der Bewegung 59-140

3. Kapitel: Von den Centripedalkräften 140-168

4. Kapitel: Ueber den Widerstand der Flüssigkeiten 169-190

Anmerkungen 191-224","XVI, 224",14,11,FALSE,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,,"Scientific literature, Treatise",,"Philosophy,Physics",,general - unspecified,,,,,,,,,,,,,,,,,,Mv 8283,"MPQ 110, F. 8639",,,,,,,,,,SBBPK: Mv 8283,,"Neudruck: Maimon, GW IV, 531-580"
book007,Answer to Mr. Joshua Van Oven’s letters on the present state of the Jewish poor in London,"Answer to Mr. Joshua Van Oven’s letters on the present state of the Jewish poor in London: in which some of his hasty mistakes are rectified, with a word to P. Colquhoun, Esq. on the subject of the Jews as treated in his Police of the Metropolis, with an Introductory Letter setting in a conspicuous view some of the Jewish Bye Laws as observed at present, and an exact copy of the bill now before Parliament for bettering the state of the indigent Jews. By L. Alexander",,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,"Who steals my purse, steals trash; 'tis something, nothing;/ Twas mine; 'tis his, and has been slave to thousands;/ But he that filches from me my good name,/ Robs me of that which not enriches him,/ And makes me poor indeed.
Shakspeare [sic]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Levy Alexander,1802,,,London,modern,,,,,,,,,,,,monolingual,English,,left,consecutive,,,Latin,TRUE,,FALSE,,FALSE,,"44, 8 ע' כולל שער",,,FALSE,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,"בעמוד השער:

Printed for and by the AUTHOR and sold by him at No. 40, Whitechapel Road",,,Polemics,,Emancipation,,"general Jewish,general non-Jewish,political authorities",,,,,,,,,,,,,,,,,933.5(42) ALE,,,,,,,,,,,,עותק בתל אביב - צילום,,"נטלי:

IUL

ספריית תל אביב: 933.5(42) ALE

הוחלט: שייך. להעביר מספרית ההשכלה לספריה המשותפת.

קשור ל: Oven, Letters"
book008,Apologie der Menschenrechte oder philosophisch kritische Beleuchtung der Schrift,Apologie der Menschenrechte oder philosophisch kritische Beleuchtung der Schrift: Ueber die physische und moralische Verfassung der heutigen Juden,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,"Voltaire: Dictionnaire philosophique.

Diderot / d'Alemberts: Encyclopédie ou Dictionnaire raisonné des sciences.

Montesquieu: Esprit des Lois.

Basnage: Histoire des Juifs.

Mendelssohn, Moses: Jerusalem.

Aristoteles: Nikomachische Ethik.

Spinoza: Tractatus theologico-politicus.

Grattenauer, Karl W. Fr.: Ueber die physische und moralische Verfassung.","La superstition met le monde entier en flammes; la philosophie les eteint.
Dictionnaire philosophique, par Voltaire. Article Superstition.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UB Kiel: Ka 9256,"Orell, Geßner, Füßli & Co.",1793,תקנד,1793,Zürich,modern,19 Groschen?,,,,,,,1,,,,monolingual,German,"Hebrew,French",left,consecutive,German,bottom of pages,Gothic,TRUE,,FALSE,,FALSE,,"XXXVI, 220",18,11,FALSE,,,,,FALSE,,FALSE,,FALSE,,TRUE,"Seiner hochgräflichen Excellenz dem Hochgebohrnen Herrn Carl George Heinrich Graf von Hoym. Königl. Preußischen wirklichen geheimen Staats-, Kriegs- und dirigirenden Minister, Chef Präsidenten beider Schlesischen Kriegs- und Domainen-Kammern, auch Ritter des großen schwarzen Adler-Ordens: Erbherrn, der Herrschaften Dyhrenfurth, Wahren, Simmel, Peterwitz, Gloschkau etc. etc. Meinem gnädigen und höchst gebiethenden Herrn!",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,Polemics,"Scientific literature, Essay",,"Atheism,Edict of toleration,Emancipation,Religious fanaticism,Religious tolerance/ intolerance",,"general - unspecified,general non-Jewish","""aufgeklärtes ... christliches Publikum"", S. XXIX",,,,,,,,,,"Hirschel, Moses: Apologie der Menschenrechte. Oder philosophischkritische Beleuchtung der Schrift: über die füsische und moralische Verfassung der heutigen Juden, in: Neue allgemeine deutsche Bibliothek, 1796, 21. Bd., 2.St. , S. 338-339",,,,2011028,,,Ez 740,,,,,,,,,,"Hamberger, Gelehrte Teutschland, vol. III, p. 344; vol. XI, p. 358.",UB Kile: Ka 9256,,Biographischer Hintergrund unerforscht
book009,Apologie des juifs en réponse à la question,"Apologie des juifs en réponse à la question: Est-il des moyens de rendre les Juifs plus heureux & plus utiles en France? Ouvrage couronné par la Société Royale des Arts & des Sciences de Metz. Par M. Zalkind-Hourwitz, Juif Polonois",,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,Veniam pro laude peto. Ovid.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gattey,1789,,,Paris,modern,36 sols,,,,,,נוסח כתיבת התאריך: M. DCC. LXXIX.,,,,מהדורת צילום: פריס 1968.,monolingual,French,,left,consecutive,French,bottom of pages,Latin,FALSE,"בהקדמתו מודה זלקינד-הורביץ לאקדמיה של מץ על שהעניקה לו, יחד עם גרגואר ותיירי, פרס על תשובתו לשאלה שהציגה.",,,,,"90 עמ', [4], כולל עמ' שער",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Emancipation,Religious tolerance/ intolerance","עמ' 73: Supplement. מציין כי לדעתו כל העיסוק בשאלה שהציגה האקדמיה מיותר. ""למה צריך כל כך הרבה דיבורים כדי להוכיח שהיהודי הוא אדם, ושאין זה צודק להעניש אותו מאז לידתו על vices אמיתיים או suposees qu'on reproche a d'autre homes avec lesquels il n'a rien de commun que la croyance?",general non-Jewish,,,,,,,"Avec Approbation & Privilége du Roi, & de la Société Royale de Metz",,,,,,,קהל יעד: קהל צרפתי. זו היתה תשובתו לשאלה שהציגה האקדמיה של מץ.,R 8= 35 V 4470(8),,933.5(44) HOU - Mehlman,,,,,,,,,,ישנו גם עותק דיגיטלי באתר של הספרייה הלאומית.,,"עותק בספריית מהלמן, אונ' תל אביב (עותק צילום - על כן לא נרשמו מידות הספר: מהדורת צילום: 1968 פריס)",,
book010,Appel à la justice des nations et des rois,"Appel à la justice des nations et des rois: ou Adresse d'un Citoyen français au Congrès qui devait avoir lieu à Lunéville, au nom de tous les habitans [sic] de l'Europe que professent la réligion juive par Michel Berr, membr. de la societ. de l'emulat. de Nancy",,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Levrault - לוורו,1801,,,Strasbourg,modern,,,,,,,,,,,,monolingual,French,,left,consecutive,French,bottom of pages,Latin,TRUE,,FALSE,,FALSE,,72 S.,,,,,,,"העבודה נעשה על עותק דיגיטלי, לכן חסרות מידות הספר.",TRUE,"לאחר דברי ההקדמה, ישנה פניה בת שני עמודים אל ""האזרח גרגואר"".",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,Manifesto,,קריאה להגנת זכויות היהודים.,"Emancipation,Religious tolerance/ intolerance",,"general - unspecified,general non-Jewish",,,"לטענת המחבר, רעיון החיבור נולד בעת מפגש עם חבורת ידידים נאורים, שתמכו כמוהו בחופש אמיתי, פטריוטים מושבעים, אויבי דעות קדומות. לנוכח הנסיבות החדשות בצרפת באותה תקופה, ערב הקונגרס שתוכנן בלינוויל, עודדוהו ידידיו לכתוב חיבור על נושא שזכה כבר בעבר להתייחסות לא מבוטלת.",,,,,,,,,,,,S 57 B 374,,,,urn:nbn:de:hebis:30-180011459005,,,,,,,http://sammlungen.ub.uni-frankfurt.de/urn/urn:nbn:de:hebis:30-180011459005,,,עותק דיגיטלי באתר של ספריית פרנקפורט.,,NG: IUL S 57 B 374
