Uniqe ID,Title,Mentioned in book,Mentionee,Description of mentionee,Location city of mentionee
mentionee1,"Alexander, Levy",Answer to Mr. Joshua Van Oven’s letters on the present state of the Jewish poor in London,"Alexander, Levy",Book's seller,
mentionee2,"Hoym, Karl Heinrich Graf von (Graf, Minister)",Apologie der Menschenrechte oder philosophisch kritische Beleuchtung der Schrift,"Hoym, Karl Heinrich Graf von (Graf, Minister)",Dedication,
mentionee3,"Gregoire, Henri",Appel à la justice des nations et des rois,"Gregoire, Henri",Personal Address,
mentionee4,"Marcus, Benedikt",Bne-Zion,"Marcus, Benedikt",Approbation,Nikolsburg
mentionee5,Stanislaus II. Poniatowski (König von Polen),Die Juden Oder Die nothwendige Reformation der Juden in der Republik Polen,Stanislaus II. Poniatowski (König von Polen),Dedication,
mentionee6,Hufnagel,Die Moseide in achtzehn Gesängen,Hufnagel,Thanks,
mentionee7,Spalding,Die Moseide in achtzehn Gesängen,Spalding,Thanks,
mentionee8,"Ramler, Karl Wilhelm",Die Psalmen,"Ramler, Karl Wilhelm",Personal address,Berlin
mentionee9,Joseph II. (Kaiser),"Einige jüdische Familienscenen, bey Erblickung des Patents über die Freyheiten, welche die Juden in den kaiserlichen Staaten erhalten haben",Joseph II. (Kaiser),Dedication,Vienna
mentionee10,"Friedländer, Rebekka Meyer",Gebete der hochdeutschen und polnischen Juden,"Friedländer, Rebekka Meyer",Dedication,Königsberg
mentionee11,"Abrahamsen, Moses Levin",Gebete der hochdeutschen und polnischen Juden,"Abrahamsen, Moses Levin",Subscriber,Copenhagen
mentionee12,Adolphi (Pastor),Gebete der hochdeutschen und polnischen Juden,Adolphi (Pastor),Subscriber,Kurland
mentionee13,"Alexander, Abraham",Gebete der hochdeutschen und polnischen Juden,"Alexander, Abraham",Subscriber,Königsberg
mentionee14,Isaac Aron,Gebete der hochdeutschen und polnischen Juden,Isaac Aron,Subscriber,Potsdam
mentionee15,"Bamberger, Wolff",Gebete der hochdeutschen und polnischen Juden,"Bamberger, Wolff",Subscriber,Königsberg
mentionee16,"Bartenstein, Joseph",Gebete der hochdeutschen und polnischen Juden,"Bartenstein, Joseph",Subscriber,Königsberg
mentionee17,Jüdel Baruch,Gebete der hochdeutschen und polnischen Juden,Jüdel Baruch,Subscriber,Berlin
mentionee18,Below (Münzdirektor),Gebete der hochdeutschen und polnischen Juden,Below (Münzdirektor),Subscriber,Kurland
