Id,Title,Name in Hebrew,Name in German,Pseudonym,Gender,Date of birth,Place of birth,Date of death,Place of death,Occupation,VIAF ID
person0001,(Dr. med.) איסטרייכער,איסטרייכער,(Dr. med.) איסטרייכער,,,,,,,,
person0002,(Dr. med.) ווארבורג,ווארבורג,(Dr. med.) ווארבורג,,,,,,,,
person0003,(Dr.) בריינערסדארף,בריינערסדארף,(Dr.) בריינערסדארף,,,,,,,,
person0004,"(Feder)-Guttmann, Tuvia - פדר, טוביה",,,,,,,,,Author,
person0005,"Aaron, Joseph Philipp - אהרן, יוסף",,,,,,,,,Author,297651133
person0006,Abraham Isaak,,Abraham Isaak,,,,,,,,313278890
person0007,Abraham Joel Emanuel,,Abraham Joel Emanuel,,,,,,,,
person0008,Abraham Moses,Abraham Moses,Abraham Moses,,,,,,,,311844602
person0009,"Abrahamsen, Moses Levin",,"Abrahamsen, Moses Levin",,,,,,,,
person0010,"Ackord, Elias - אקורד, אליהו",,,,,,,,,"Author,Translator",309708467
person0011,Adolphi (Pastor),,Adolphi (Pastor),,,,,,,,
person0012,"Alexander, Abraham",,"Alexander, Abraham",,,,,,,,313382282
person0013,"Alexander, Isaak - אלכסנדר, יצחק",,,,,,,,,Author,309507694
person0014,"Alexander, Levy","אלכסנדר, לוי","Alexander, Levy",,,,,,,,311971929
person0015,"Alexander, Levy - אלכסנדר, לוי",,,,,,,,,Author,311971929
person0016,Anonym,,,,,,,,,Translator,313370557
person0017,Anonymous,,,,,,,,,"Author,Editor",313402371
person0018,"Arnstein (Freiherr von), Nathan Adam","נאטהאן אדאם, פרייהערר פאן ארנשטיין","Arnstein (Freiherr von), Nathan Adam",,,,,,,,
person0019,"Arnstein, Benedict David - ארנשטיין, בנדיקט דוד",,,,,,,,,Author,
person0020,"Arnstein, Benedikt",בענעדיקט ארנשטיין,"Arnstein, Benedikt",,,,,,,,67310902
person0021,"Arnstein, Josef",יאזעף ארנשטיין,"Arnstein, Josef",,,,,,,,100444700
person0022,"Arnstein, Meier",מאיר ארנשטיין,"Arnstein, Meier",,,,,,,,
person0023,"Arnstein, Nathan Adam (Freiherr von Arnstein)","נאטהאן אדאם, פרייהערר פאן","Arnstein, Nathan Adam (Freiherr von Arnstein)",,,,,,,,
person0024,"Arnstein, Wolf I.",וואלף אי' ארנשטיין,"Arnstein, Wolf I.",,,,,,,,
person0025,"Asch, Abraham - אש, אברהם",,,,,,,,,Author,291400705
person0026,"Ascher, Judas - אשר, יהודה",,,,,,,,,Author,306236205
person0027,"Ascher, Saul - אשר, שאול",,,,,,,,,"Author,Mevi La'Dfus (Producer)",312063522
person0028,"Bamberger, Wolff",,"Bamberger, Wolff",,,,,,,,
person0029,"Baras, Simon - בר""ז, שמעון",,,,,,,,,Author,
person0030,"Bartenstein, Joseph",,"Bartenstein, Joseph",,,,,,,,306201221
person0031,"Baruch Schick of Shklov - שיק, ברוך משקלוב",,,,,,,,,"Author,Mevi La'Dfus (Producer),Translator",
person0032,"Baschwitz - בשוויץ, ברוך",,,,,,,,,Mevi La'Dfus (Producer),311912994
person0033,"Baschwitz, Zebi (Hirsch) ben Meir - בשביץ, צבי הירש בן מאיר",,,,,,,,,,
person0034,"Beer-Bing, Jesaia - בער, ישי",,,,,,,,,Translator,308258638
person0035,"Beer, Aaron",אהרן דוב בער,"Beer, Aaron",,,,,,,,311947704
person0036,"Beer, Moses",מאזעס בעער,"Beer, Moses",,,,,,,,310281113
person0037,"Beer, Peter - בער, פרץ",,,,,,,,,Author,
person0038,"Belinfante, Isaac","בלינפנטי, יצחק","Belinfante, Isaac",,,,,,,,288941904
person0039,"Belinfante, Isaac - בלינפנטי, יצחק",,,,,,,,,Author,288941904
person0040,"Bellerman, Johann Joachim",Bellerman,"Bellerman, Johann Joachim",,,,,,,,197598422
person0041,Below (Münzdirektor),,Below (Münzdirektor),,,,,,,,
person0042,"Ben Seew, Juda Löb - בן-זאב, יהודה ליב",,,,,,,,,"Author,Commentator,Translator",
person0043,"Ben-Jacob, Meir - בן-יעקב, מאיר",,,,,,,,,Author,309599334
person0044,"Bendavid, Lazarus - בנדוד, לצרוס",,,,,,,,,"Author,Translator",312505979
person0045,"Bendix, Hirsch Nathan",,"Bendix, Hirsch Nathan",,,,,,,,
person0046,"Bendix, Jeremias",,"Bendix, Jeremias",,,,,,,,
person0047,"Bendix, Levin Nathan",,"Bendix, Levin Nathan",,,,,,,,
person0048,"Benet, Mordechai","בנעט, מרדכי (רב)","Benet, Mordechai",,,,,,,,298683660
person0049,Berend Callmann,בער בן קלמן,Berend Callmann,,,,,,,,
person0050,Berend Ellerich,,Berend Ellerich,,,,,,,,
person0051,Berend Mendel,,Berend Mendel,,,,,,,,
person0052,"Berend, S. L. (Landesältester)","Berend, S. L.","Berend, S. L. (Landesältester)",,,,,,,,
person0053,Berlin Saul,"ברלין, שאול",Berlin Saul,,,,,,,,302403142
person0054,"Berlin, Hirsch","ברלין, הירש (אב""ד דק""ק ברלין והמדינה)","Berlin, Hirsch",,,,,,,,313360256
person0055,"Berlin, Saul - ברלין, שאול",,,,,,,,,Author,302403142
person0056,"Berr, Isaac Berr - בר, יצחק בר",,,,,,,,,Author,215702936
person0057,"Berr, Michel - בר, מיכאל",,,,,,,,,Author,61680557
person0058,"Bing, Beer Abraham - בינג, אברהם בר",,,,,,,,,Author,282974572
person0059,"Binge, Abraham",,"Binge, Abraham",,,,,,,,
person0060,"Bloch, Marcus Elieser","בלוך (הרופא), מרדכי אליעזר","Bloch, Marcus Elieser",,,,,,,,312358065
person0061,Boas Isaak,,Boas Isaak,,,,,,,,
person0062,"Boas, Simon","Boas, Simon","Boas, Simon",,,,,,,,309642773
person0063,"Bock, Moses Hirsch - בוק, משה (בן) צבי",,,,,,,,,Author,306145329
person0064,"Bondi, Hirsch",הירש באנדי,"Bondi, Hirsch",,,,,,,,
person0065,"Bondi, Isaac",איזאק באנדי,"Bondi, Isaac",,,,,,,,88853650
person0066,"Bondi, Mardochai - בונדי, מרדכי",,,,,,,,,Author,56964546
person0067,"Bondi, Moses",מאזעס באנדי,"Bondi, Moses",,,,,,,,
person0068,"Bondi, Simon","בונדי, שמעון","Bondi, Simon",,,,,,,,309627612
person0069,"Borchard, Jacob Isaac",,"Borchard, Jacob Isaac",,,,,,,,
person0070,"Bran, Alexander",,,,,,,,,Mevi La'Dfus (Producer),313196281
person0071,"Breslauer, Mendel","ברסלאו, מנדל","Breslauer, Mendel",,,,,,,,297148089
person0072,"Bresslau, Löbel",,"Bresslau, Löbel",,,,,,,,
person0073,"Brug, Lazarus",,"Brug, Lazarus",,,,,,,,
person0074,"Buchner, Zeev Wolf - בוכנר, זאב וולף",,,,,,,,,Author,53997089
person0075,"Büschenthal, Lippmann Moses - בישנטל, ליפמן משה",,,,,,,,,"Author,Translator",40148037
person0076,Carlotta Arnstein,קארלוטא ארנשטאיין,Carlotta Arnstein,,,,,,,,298769272
person0077,"Caspar, Isaac",,"Caspar, Isaac",,,,,,,,312286978
person0078,"Cassel, David",,"Cassel, David",,,,,,,,313316902
person0079,"Chorin, Aaron - אהרן בן קלמן",,,,,,,,,Author,10193208
person0080,"Cohen, Benjamin Moses - כהן, בנימין משה",,,,,,,,,Mevi La'Dfus (Producer),190948952
person0081,"Cohen, Chanania Elchanan Chaj - כהן, חנניה אלחנן חי",,,,,,,,,Author,
person0082,"Cohen, Salomon Jacob - כהן, שלום",,,,,,,,,"Author,Translator,Editor",247339464
person0083,"Cohn, Nathan (Lehrer)","קאהן, נתן","Cohn, Nathan (Lehrer)",,,,,,,,
person0084,"Cologna, Abraham de - קולוניא, אברהם חי די",,,,,,,,,Author,46904538
person0085,"Cöslin, Chajim - קסלין, חיים",,,,,,,,,Author,160108574
person0086,David Friedrich Megerlin,דוד פרידריך מעגרלין,David Friedrich Megerlin,,,,,,,,215837299
person0087,David Jakob Ries,דוד יעקב ריז,David Jakob Ries,,,,,,,,
person0088,David Levi,"David Levi, נציג בי""ס יהודי בטרייסט",David Levi,,,,,,,,312758131
person0089,David Levin,,David Levin,,,,,,,,311313257
person0090,"David, Joseph Nathan",,"David, Joseph Nathan",,,,,,,,
person0091,"David, Meyer Michel (Kammeragent)","דוד, מאיר מיכל","David, Meyer Michel (Kammeragent)",,,,,,,,
person0092,"Davidson, Wolf - דוידזון, וולף",,,,,,,,,Author,310444771
person0093,"Derenburg, Zebi Hirsch - דרנבורג, הירש",,,,,,,,,Author,
person0094,"Dessau, Wolf - דסאו, וולף",,,,,,,,,Commentator,284946145
person0095,"Detmold, Anna",,"Detmold, Anna",,,,,,,,
person0096,"Detmold, Samuel - דטמולד, שמואל",,,,,,,,,"Translator,Commentator",299136890
person0097,Diehl,Diehl,Diehl,,,,,,,,313385791
person0098,Direktion der Kaufmännischen Ressource,Direktion der Kaufmännischen Ressource,Direktion der Kaufmännischen Ressource,,,,,,,,
person0099,Dohm (Syndicus),Dohm,Dohm (Syndicus),,,,,,,,
person0100,"Dohm, Lewin Benjamin - דוהם, לוין בנימין",,,,,,,,,Author,
person0101,"Dormitzer, Meir Markus - דורמיצר, מאיר",,,,,,,,,Author,
person0102,"Driesen, Mordechai - דריזן, מרדכי בן שמעיה",,,,,,,,,Mevi La'Dfus (Producer),52831181
person0103,"Dubno, Salomon","דובנא, שלמה","Dubno, Salomon",,,,,,,,
person0104,"Dubno, Salomon - דובנא, שלמה",,,,,,,,,"Author,Editor,Mevi La'Dfus (Producer),Commentator",
person0105,Elbthal,Elbthal,Elbthal,,,,,,,,42576263
person0106,Elia b. Daniel (Jaffe),"יפה, אליה בר""ד (בנו של יפה, דניאל)",Elia b. Daniel (Jaffe),,,,,,,,
person0107,Elias Meyer (Kammeragent),,Elias Meyer (Kammeragent),,,,,,,,
person0108,"Elias, Philipp",,"Elias, Philipp",,,,,,,,312332815
person0109,Engel,Engel,Engel,,,,,,,,313409595
person0110,Ephraim,רב אפרים,Ephraim,,,,,,,,313411240
person0111,Ephraim Lion Davids - אפרים בן ליב,,,,,,,,,Translator,298299160
person0112,"Ephraim, David",,"Ephraim, David",,,,,,,,313022131
person0113,"Ephraim, Samuel Hirsch",,"Ephraim, Samuel Hirsch",,,,,,,,
person0114,"Epstein, Pelte Moses - אפשטין, פלטא בן משה",,,,,,,,,Author,
person0115,"Erhraim, Veitel H.","אפרים, פייטל","Erhraim, Veitel H.",,,,,,,,
person0116,Eschwege,Eschwege,Eschwege,,,,,,,,313263432
person0117,"Eskeles, Bernhard","בערנהארד, עדלער פאן עסקעלעס","Eskeles, Bernhard",,,,,,,,310605104
person0118,"Eskeles, Bernhard von","אשקלות, בער","Eskeles, Bernhard von",,,,,,,,3225048
person0119,"Euchel, Demoiselle",,"Euchel, Demoiselle",,,,,,,,
person0120,"Euchel, Gottleb - אייכל, יחיאל גוטליב",,,,,,,,,"Author,Translator",298583259
person0121,"Euchel, Isaac Abraham","אייכל, יצחק","Euchel, Isaac Abraham",,,,,,,,310491270
person0122,"Euchel, Isaak","אייכל, איזק","Euchel, Isaak",,,,,,,,309620573
person0123,Ezechel Caspar,,Ezechel Caspar,,,,,,,,
person0124,"Fischer, Markus - פישר, מאיר",,,,,,,,,Author,311094757
person0125,"Francia de Beaufleury, Louis",,,,,,,,,Author,73926249
person0126,"Franco Mendes, David","פרנקו-מנדס, דוד","Franco Mendes, David",,,,,,,,295374324
person0127,"Franco Mendes, David - פרנקו-מנדס, דוד",,,,,,,,,"Author,Translator",295374324
person0128,Fränkel,Fränkel,Fränkel,,,,,,,,313403220
person0129,"Fränkel, David","פרנקל, דוד","Fränkel, David",,,,,,,,312067589
person0130,"Fränkel, David - פרנקל, דוד",,,,,,,,,"Author,Mevi La'Dfus (Producer)",312067589
person0131,"Fränkel, Michael","Fränkel, Michael","Fränkel, Michael",,,,,,,,274609724
person0132,"Fränkel, Moses S.","Fränkel, Moses S.","Fränkel, Moses S.",,,,,,,,
person0133,Franz II,פראנץ (השני),Franz II,,,,,,,,313384387
person0134,"Friedeburg, Madame Herz",,"Friedeburg, Madame Herz",,,,,,,,
person0135,"Friedländer, Abraham","פרידלנדר, אברהם","Friedländer, Abraham",,,,,,,,80438759
person0136,"Friedländer, Adelaide",,"Friedländer, Adelaide",,,,,,,,
person0137,"Friedländer, Angelika",,"Friedländer, Angelika",,,,,,,,
person0138,"Friedländer, Bernhard",,"Friedländer, Bernhard",,,,,,,,308268600
person0139,"Friedländer, David","פרידלענדר, דוד","Friedländer, David","Friedlaender, David,Friedlander, David",Male,16/12/1750,Königsberg,25/12/1834,Berlin,"Author,Commentator,Translator",313326925
person0140,"Friedländer, Goldea",,"Friedländer, Goldea",,,,,,,,
person0141,"Friedländer, H. N. (Buchhändler)","Friedländer, H. N.","Friedländer, H. N. (Buchhändler)",,,,,,,,
person0142,"Friedländer, Hanna",,"Friedländer, Hanna",,,,,,,,
person0143,"Friedländer, Heimann Meyer",,"Friedländer, Heimann Meyer",,,,,,,,
person0144,"Friedländer, Hinde",,"Friedländer, Hinde",,,,,,,,
person0145,"Friedländer, Hirsch Elias",,"Friedländer, Hirsch Elias",,,,,,,,
person0146,"Friedländer, Meier","פרידלנדר, מאיר","Friedländer, Meier",,,,,,,,
person0147,"Friedländer, Meyer",,"Friedländer, Meyer",,,,,,,,311965650
person0148,"Friedländer, Michael - פרידענדר, מיכאל",,,,,,,,,Author,311847914
person0149,"Friedländer, Pessel",,"Friedländer, Pessel",,,,,,,,
person0150,"Friedländer, Rebekka Meyer","Friedländer, Rebekka Meyer","Friedländer, Rebekka Meyer",,,,,,,,
person0151,"Friedländer, Rebekka Wulff",,"Friedländer, Rebekka Wulff",,,,,,,,
person0152,"Friedländer, Recha Wulff",,"Friedländer, Recha Wulff",,,,,,,,
person0153,"Friedländer, Salomon",,"Friedländer, Salomon",,,,,,,,281958886
person0154,"Friedländer, Samuel Wulff",,"Friedländer, Samuel Wulff",,,,,,,,47522721
person0155,"Friedländer, Sanwil","פרידלנדר, זנוויל שמואל","Friedländer, Sanwil",,,,,,,,
person0156,"Friedländer, Sanwil - פרידלנדר, זנוויל שמואל",,,,,,,,,Author,
person0157,"Friedländer, Simon",,"Friedländer, Simon",,,,,,,,80438958
person0158,"Friedländer, Simon Bendix",,"Friedländer, Simon Bendix",,,,,,,,
person0159,"Friedländer, Veitel Bernhard",,"Friedländer, Veitel Bernhard",,,,,,,,
person0160,"Friedländer, Wolf","פרידלענדר, וואלף","Friedländer, Wolf",,,,,,,,291755911
person0161,"Friedländer, Wolf Bernhard",,"Friedländer, Wolf Bernhard",,,,,,,,
person0162,"Friedländer, Wulff",,"Friedländer, Wulff",,,,,,,,80439207
person0163,Friedrich Salomon Stöltzner,Friedrich Salomon Stöltzner,Friedrich Salomon Stöltzner,,,,,,,,
person0164,Friedrich Wilhelm III.,פרידריך וילהלם השלישי,Friedrich Wilhelm III.,,,,,,,,313071729
person0165,"Friedrichsfeld, David","פרידריכספלד, דוד","Friedrichsfeld, David",,,,,,,,285191198
person0166,"Friedrichsfeld, David - פרידריכספלד, דוד",,,,,,,,,Author,285191198
person0167,"Friesenhausen, David ben Meir Hakohen - פריזנהויזן, דוד",,,,,,,,,Author,
person0168,Fürst (Dr.),פירשט,Fürst (Dr.),,,,,,,,313276383
person0169,"Furtado, Abraham - פורטאדו, אברהם",,,,,,,,,Translator,153173579
person0170,"Fürth, Meyer Elkan - פירדא, אלחנן מאיר בן אברהם",,,,,,,,,"Author,Mevi La'Dfus (Producer)",305857543
person0171,Gallathea Salomon,,Gallathea Salomon,,,,,,,,
person0172,"Gans, Abraham","גאנס, אברהם","Gans, Abraham",,,,,,,,287012586
person0173,"Gans, Salomon","Gans, Salomon","Gans, Salomon",,,,,,,,309628836
person0174,"Gardemain (Bankier), Daniel",,"Gardemain (Bankier), Daniel",,,,,,,,
person0175,Geisenheimer (Vorsteher des Philantropins),Geisenheimer,Geisenheimer (Vorsteher des Philantropins),,,,,,,,
person0176,"Gerson, Elias - אליהו מפינטשוב",,,,,,,,,Editor,306229990
person0177,Gesellschaft der Freunde,Gesellschaft der Freunde,Gesellschaft der Freunde,,,,,,,,313273907
person0178,Gesellschaft der hebräischen Litteraturfreunde,חברת דורשי לשון עבר,Gesellschaft der hebräischen Litteraturfreunde,,,,,,,,
person0179,Gesellschaft des Guten und Edlen - חברת שוחרי הטוב והתושיה,,,,,,,,,"Author,Mevi La'Dfus (Producer)",123862976
person0180,"Getzel, Jacob",,"Getzel, Jacob",,,,,,,,
