Uniqe ID,Title,Producer of book,Name of book producer,Role in book creation,Notes on roles in book's creation,Does the person's name appear in the book,Name as it appears in the book,Evidence for person's identity if it does not appear in the book,Approximate age during writing of book,Religion during writing of book,Location during writing of book,References for person and book
producer1,"Alexander, Isaak - אלכסנדר, יצחק",Abhandlung von der Freiheit des Menschen,"Alexander, Isaak - אלכסנדר, יצחק",Author,,,,,,,,
producer2,Anonym,Actenstücke zur Geschichte der Erhebung der Juden zu Bürgern der Republik Batavien,Anonym,Translator,,,,,,,,
producer3,"Friedländer, David - פרידלענדר, דוד",Akten-Stücke die Reform der Jüdischen Kolonieen in den Preußischen Staaten betreffend,"Friedländer, David - פרידלענדר, דוד","Author,Mevi La'Dfus (Producer)",,,,,,,,
producer4,אנונימי,An das Breslauer Publikum,אנונימי,Author,,,,,,,,
producer5,"Herz, Marcus - הרץ, מרכוס",An die Herausgeber des hebräischen Sammlers über die frühe Beerdigung der Juden,"Herz, Marcus - הרץ, מרכוס",Author,,,,,,,,
producer6,"Maimon, Salomon - מימון, שלמה",Anfangsgründe der Newtonischen Philosophie,"Maimon, Salomon - מימון, שלמה",Author,,,,,,,,
producer7,"Alexander, Levy - אלכסנדר, לוי",Answer to Mr. Joshua Van Oven’s letters on the present state of the Jewish poor in London,"Alexander, Levy - אלכסנדר, לוי",Author,,,,,,,,
producer8,"Hirschel, Moses - הירשל, משה",Apologie der Menschenrechte oder philosophisch kritische Beleuchtung der Schrift,"Hirschel, Moses - הירשל, משה",Author,,,,,,,,
producer9,"Hourwitz, Zalkind - הורביץ, זלקינד",Apologie des juifs en réponse à la question,"Hourwitz, Zalkind - הורביץ, זלקינד",Author,,,,,,,,
producer10,"Berr, Michel - בר, מיכאל",Appel à la justice des nations et des rois,"Berr, Michel - בר, מיכאל",Author,,,,,,,,
producer11,"Bendavid, Lazarus - בנדוד, לצרוס",Aufsätze verschiedenen Inhalts,"Bendavid, Lazarus - בנדוד, לצרוס",,,,,,,,,
producer12,"Wohl, Levi - וול, יהודה ליב בן צבי הירש",Balsam für die Wunde,"Wohl, Levi - וול, יהודה ליב בן צבי הירש",Translator,,,,,,,,
producer13,"Hurwitz, Philipp Lazarus - הורוויץ, פיליפ לצרוס",Beleuchtung der in den gegenwärtig bei dem Geheimen Ober-Tribunale schwebenden Fränkel-Marcuseschen Erbrechtsprozess einschlagenden jüdischen Rechte,"Hurwitz, Philipp Lazarus - הורוויץ, פיליפ לצרוס",Author,,,,,,,,
producer14,"Ascher, Saul - אשר, שאול",Bemerkungen über die bürgerliche Verbesserung der Juden,"Ascher, Saul - אשר, שאול",Author,,,,,,,,
producer15,אנונימי,Betrachtungen in Hinsicht der Jüdischen Nation,אנונימי,Author,,,,,,,,
producer16,"Bendavid, Lazarus - בנדוד, לצרוס","Beweis, dass heutzutage in den K. K. Staaten die Juden zu Kriegsdienst ebensowohl verpflichtet sind als die Christen","Bendavid, Lazarus - בנדוד, לצרוס",Author,,,,,,,,
producer17,"Bendavid, Lazarus - בנדוד, לצרוס",Beyträge zur Kritik des Geschmacks,"Bendavid, Lazarus - בנדוד, לצרוס",Author,,,,,,,,
producer18,"Bendavid, Lazarus - בנדוד, לצרוס",Bildnisse jetztlebender Berliner Gelehrten mit Ihren Selbstbiographieen,"Bendavid, Lazarus - בנדוד, לצרוס",Author,,,,,,,,
producer19,"Lowe, Johann Michael Siegfried",Bildnisse jetztlebender Berliner Gelehrten mit Ihren Selbstbiographieen,"Lowe, Johann Michael Siegfried",Mevi La'Dfus (Producer),,,,,,,,
producer20,"Homberg, Herz - הרץ, הומברג",Bne-Zion,"Homberg, Herz - הרץ, הומברג",Author,,,,,,,,
producer21,"Milliaud, Moïse - מיליו, משה","Cantique adresse a Napoleon le Grand, empereur des Francois et roi d'Italie","Milliaud, Moïse - מיליו, משה",Author,,,,,,,,
producer22,"Venture, Mardochée - ונטורה, מרדכי",Cantique des cantiques,"Venture, Mardochée - ונטורה, מרדכי",Translator,,,,,,,,
producer27,"Euchel, Isaac Abraham - אייכל, יצחק",Der erste Mensch,"Euchel, Isaac Abraham - אייכל, יצחק",Author,,,,,,,,
producer23,"Ascher, Judas - אשר, יהודה","Der Judenfreund. Oder auserlesene Anekdoten, Schwänke und Einfälle von den Kindern Israels","Ascher, Judas - אשר, יהודה",Author,,,,,,,,
producer24,"Asch, Abraham - אש, אברהם",Der Messias oder Reform der Juden in religiöser und moralischer Hinsicht,"Asch, Abraham - אש, אברהם",Author,,,,,,,,
producer25,"Friedländer, David - פרידלענדר, דוד",Der Prediger,"Friedländer, David - פרידלענדר, דוד","Author,Translator",,,,,,,,
producer26,Anonymous,Der Pseudo-Haman oder Widerlegung der Schrift wider die Juden,Anonymous,Author,,,,,,,,
producer28,"Ackord, Elias - אקורד, אליהו",Die Juden Oder Die nothwendige Reformation der Juden in der Republik Polen,"Ackord, Elias - אקורד, אליהו","Author,Translator",,,,,,,,
producer29,"Jeitteles, Baruch (Benedict) - ייטלש, ברוך",Die Kuhpockenimpfung,"Jeitteles, Baruch (Benedict) - ייטלש, ברוך",Author,,,,,,,,
producer30,"Wessely, Hartwig - וייזל, נפתלי הרץ",Die Moseide in achtzehn Gesängen,"Wessely, Hartwig - וייזל, נפתלי הרץ",Author,,,,,,,,
