Unique ID,Name,Latitude,Longitude
city001,Altona,53.55,9.93333
city002,Altstadt,53.62805,11.41582
city003,Amsterdam,52.37403,4.88969
city004,Anklam,53.85637,13.68965
city005,Anspach,50.30107,8.5102
city006,Arad,46.33333,21.75
city007,Arnswalde,,
city008,Augsburg,48.36733,10.89213
city009,Bamberg,49.8934,10.89115
city010,Barcelona,41.38879,2.15899
city011,Basel,47.55773,7.59361
city012,Bayreuth,49.94782,11.57893
city013,Berditchev,,
city014,Berlin,52.52437,13.41053
city015,Bern,46.94761,7.40645
city016,Bernburg,51.79464,11.7401
city017,Bialystok,,
city018,Bidschow,,
city019,Bielau,,
city020,Bielefeld,52.03333,8.53333
city021,Bielitz,,
city022,Bleicherode,51.44026,10.57202
city023,Böhmisch Leipa,,
city024,Bonn,50.73438,7.09549
city025,Bourdeaux,44.58639,5.13444
city026,Brandenburg,52.33333,13.2
city027,Braunschweig,52.26471,10.52333
city028,Breslau,-25.95766,27.24219
city029,Brest,52.09755,23.68775
city030,Brieg,,
city031,Brno,49.19522,16.60796
city032,Brody,50.08791,25.15027
city033,Brooklyn,40.6501,-73.94958
city034,Bruchsal,49.12426,8.59804
city035,Brünn,49.1,11.9
city036,Bubwitz,,
city037,Buda,30.08521,-97.84028
city038,Budapest,47.49801,19.03991
city039,Bunzlau,,
city040,Burgkunstadt,50.14093,11.25205
city041,Cambridge,52.2,0.11667
city042,Casale Monferrato,45.13336,8.45714
city043,Celle,52.62264,10.08047
city044,Cerny,48.47796,2.32815
city045,Chelm,,
city046,Chlumetz,,
city047,Chur,46.85212,9.52965
city048,Constantinople,,
city049,Copenhagen,55.67594,12.56553
city050,Damascus,33.5102,36.29128
city051,Danzig,46.13803,-99.47484
city052,Dembitz,,
city053,Den Haag,-31.34395,26.55501
city054,Dessau,51.83864,12.24555
city055,Detmold,51.93855,8.87318
city056,Dobromil,51.58052,15.99016
city057,Dobruschka,,
city058,Domosnitz,,
city059,Dorpat,,
city060,Dresden,51.05,13.75
city061,Driesen,51.53935,6.66945
city062,Drohobytsch,,
city063,Dubno,50.41694,25.73432
city064,Duisburg,51.43247,6.76516
city065,Dyhernfurth,,
city066,Eger,47.90265,20.37329
city067,Eisenstadt,47.84565,16.52327
city068,Elberfeld,38.15977,-87.44835
city069,Essen,51.45657,7.01228
city070,Flatow,53.4,13.33333
city071,Florenz,,
city072,Frankfurt am Main,50.11035,8.67185
city073,Frankfurt/Oder,,
city074,Friedland,51.4167,9.93333
city075,Friedrichsfeld,49.44205,8.57696
city076,Fürth,49.47055,10.99713
city077,Glogau,,
city078,Gorizia,45.93432,13.61834
city079,Görz,37.48333,45.7
city080,Göttingen,51.53443,9.93228
city081,Greifswald,54.09311,13.38786
city082,Griechenland,,
city083,Grodno,53.9353,28.6434
city084,Hagenau,52.05183,6.05814
city085,Halberstadt,51.8883,11.0572
city086,Halle,50.73385,4.23454
city087,Halle/Saale,,
city088,Hamburg,53.57532,10.01534
city089,Hamm,51.68033,7.82089
city090,Hanau,50.13155,8.92082
city091,Hannover,52.37052,9.73322
city092,Hasenpoth,,
city093,Hechingen,48.35149,8.96317
city094,Helmstädt,49.7618,9.70803
city095,Hildesheim,52.15077,9.95112
city096,Hirschberg,50.4,11.8167
city097,Hohenems,47.36714,9.70692
city098,Höritz,,
city099,Horodok,49.16374,26.58394
city100,Horschitz,,
city101,Hungary,47,20
city102,Jaroslaw,50.85691,-97.06456
city103,Jena,50.9326,11.58678
city104,Jersualem,,
city105,Jerusalem,31.75,35
city106,Jeßnitz,51.68307,12.29992
city107,Jewpatorija,,
city108,Józefów,52.13707,21.23589
city109,Kanischa,,
city110,Karlsruhe,49.0083,8.39786
city111,Kassel,51.31667,9.5
city112,Kempen,51.36432,6.41858
city113,Kempten,49.96729,7.93702
city114,Kiel,54.32133,10.13489
city115,Koblenz,50.3567,7.59317
city116,Kolin,50.02814,15.20057
city117,Kolmar,-43.68833,171.73011
city118,Komarno,47.76356,18.12263
city119,Komorn,,
city120,Königgrätz,-23.30939,29.21553
city121,Königsberg,-28.55836,31.32012
city122,Königslutter,,
city123,Kopys,,
city124,Korets,,
